Concurrency,Req/sec
325,3151.5626860044163
326,3147.041778191266
327,3142.533717819366
328,3138.038451158072
329,3133.55592476421
330,3129.086085480339
331,3124.6288804330206
332,3120.1842570311014
333,3115.752162964001
334,3111.3325462000143
335,3106.9253549846158
336,3102.5305378387793
337,3098.1480435573035
338,3093.777821207148
339,3089.4198201257786
340,3085.0739899195205
341,3080.740280461923
342,3076.41864189213
343,3072.1090246132667
344,3067.8113792908234
345,3063.5256568510626
346,3059.2518084794256
347,3054.989785618952
348,3050.739539968708
349,3046.5010234822225
350,3042.274188365936
351,3038.0589870776544
352,3033.8553723250147
353,3029.6632970639594
354,3025.4827144972196
355,3021.313578072807
356,3017.1558414825154
357,3013.009458660433
358,3008.874383781459
359,3004.750571259836
360,3000.6379757476825
361,2996.536552133548
362,2992.446255540959
363,2988.3670413269906
364,2984.298865080838
365,2980.2416826223957
366,2976.195450000857
367,2972.1601234933023
368,2968.135659603321
369,2964.1220150596178
370,2960.1191468146453
371,2956.1270120432387
372,2952.145568141257
373,2948.1747727242355
374,2944.2145836260497
375,2940.2649588975814
376,2936.3258568053993
377,2932.397235830441
378,2928.479054666713
379,2924.57127221999
380,2920.673847606528
381,2916.7867401517838
382,2912.909909389143
383,2909.043315058656
384,2905.1869171057824
385,2901.3406756801446
386,2897.504551134287
387,2893.678504022444
388,2889.8624950993203
389,2886.056485318872
390,2882.260435833102
391,2878.4743079908553
392,2874.698063336635
393,2870.9316636094127
394,2867.175070741454
395,2863.4282468571514
396,2859.6911542718613
397,2855.9637554907517
398,2852.246013207658
399,2848.5378903039455
400,2844.839349847372
401,2841.150355090977
402,2837.4708694719548
403,2833.800856610552
404,2830.140280308966
405,2826.4891045502477
406,2822.847293497222
407,2819.2148114914003
408,2815.5916230519174
409,2811.977692874458
410,2808.3729858302027
411,2804.7774669647765
412,2801.191101497209
413,2797.6138548188874
414,2794.0456924925375
415,2790.4865802511918
416,2786.936483997178
417,2783.3953698011087
418,2779.8632039008753
419,2776.339952700654
420,2772.8255827699168
421,2769.320060842445
422,2765.823353815358
423,2762.335428748137
424,2758.8562528616653
425,2755.385793537268
426,2751.9240183157676
427,2748.4708948965294
428,2745.026391136532
429,2741.5904750494296
430,2738.163114804631
431,2734.7442787263744
432,2731.333935292819
433,2727.9320531351336
434,2724.538601036598
435,2721.153547931704
436,2717.7768629052725
437,2714.4085151915615
438,2711.0484741733944
439,2707.6967093812855
440,2704.3531904925767
441,2701.0178873305736
442,2697.690769863692
443,2694.371808204611
444,2691.0609726094285
445,2687.758233476823
446,2684.463561347222
447,2681.176926901974
448,2677.8983009625317
449,2674.627654489631
450,2671.364958582486
451,2668.1101844779787
452,2664.8633035498633
453,2661.624287307973
454,2658.3931073974272
455,2655.1697355978517
456,2651.954143822595
457,2648.7463041179626
458,2645.5461886624416
459,2642.353769765942
460,2639.169019869036
461,2635.991911542208
462,2632.822417485103
463,2629.660510525786
464,2626.5061636200026
465,2623.3593498504465
466,2620.220042426029
467,2617.08821468116
468,2613.9638400750223
469,2610.8468921908634
470,2607.7373447352825
471,2604.635171537528
472,2601.540346548795
473,2598.4528438415323
474,2595.372637608748
475,2592.299702163328
476,2589.23401193735
477,2586.1755414814047
478,2583.1242654639314
479,2580.080158670537
480,2577.043196003344
481,2574.0133524803196
482,2570.9906032346303
483,2567.974923513983
